================================================================================
TripWire Readable Report
Generated: 2025-12-01 08:57:39
Source: System_events.tsv
================================================================================

[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 13:04:20" "6062" "Warning" "Netwtw10" "6062 - Lso was triggered"
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 13:04:19" "10317" "Error" "Microsoft-Windows-NDIS" "Miniport Microsoft Wi-Fi Direct Virtual Adapter #4, {6d961592-57f3-462e-8b31-347828315022}, had event Fatal error: The miniport has failed a power transition to operational power"
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 13:04:19" "27" "Warning" "e1dexpress" "Intel(R) Ethernet Connection (11) I219-LM
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | Network link is disconnected.
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 13:04:19" "22" "Warning" "Microsoft-Windows-Hyper-V-VmSwitch" "Media disconnected on NIC /DEVICE/{0CC0E3FE-5ECE-403A-A0E1-5A1457606367} (Friendly Name: Intel(R) Ethernet Connection (11) I219-LM)."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 13:04:19" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: A socket operation was attempted to an unreachable network. (0x80072743)"

================================================================================
Total events: 92
